SOLAR-7,SOLAR-13,SOLAR-11,SOLAR-2,SOLAR-5,SOLAR-15,SOLAR-12,SOLAR-6,SOLAR-1,SOLAR-9,SOLAR-8,SOLAR-16,SOLAR-17,SOLAR-14,SOLAR-10,SOLAR-3,SOLAR-4,SOLAR-18,time_CST
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-05T23:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-06T00:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-06T01:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-06T02:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-06T03:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-06T04:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-06T05:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-06T06:00:00Z
0.06222222222222222,0.27078651685393257,0.27078651685393257,0.2884399551066218,0.3927355278093076,0.06222222222222222,0.3927355278093076,0.3927355278093076,0.3927355278093076,0.06222222222222222,0.3927355278093076,0.009999999999999998,0.3927355278093076,0.1622222222222222,0.3927355278093076,0.3927355278093076,0.2884399551066218,0.07333333333333333,2016-02-06T07:00:00Z
0.8511111111111112,0.8157303370786516,0.8157303370786516,0.7542087542087542,0.8195232690124857,0.8511111111111112,0.8195232690124857,0.8195232690124857,0.8195232690124857,0.8511111111111112,0.8195232690124857,0.07555555555555556,0.8195232690124857,0.7811111111111111,0.8195232690124857,0.8195232690124857,0.7542087542087542,0.34888888888888886,2016-02-06T08:00:00Z
0.96,0.9235955056179774,0.9235955056179774,0.8855218855218856,0.920544835414302,0.96,0.920544835414302,0.920544835414302,0.920544835414302,0.96,0.920544835414302,0.27999999999999997,0.920544835414302,0.9088888888888889,0.920544835414302,0.920544835414302,0.8855218855218856,0.8288888888888889,2016-02-06T09:00:00Z
1,0.9550561797752809,0.9550561797752809,0.9405162738496071,0.9602724177071509,1,0.9602724177071509,0.9602724177071509,0.9602724177071509,1,0.9602724177071509,0.57,0.9602724177071509,0.9566666666666667,0.9602724177071509,0.9602724177071509,0.9405162738496071,0.8977777777777778,2016-02-06T10:00:00Z
1,0.9640449438202247,0.9640449438202247,0.957351290684624,0.9727582292849035,1,0.9727582292849035,0.9727582292849035,0.9727582292849035,1,0.9727582292849035,0.8211111111111111,0.9727582292849035,0.9677777777777777,0.9727582292849035,0.9727582292849035,0.957351290684624,0.9033333333333332,2016-02-06T11:00:00Z
